ANO;MES;EMPRESA;ORIGEM;DESTINO;RETORNO;CLASSE IDA;CLASSE VOLTA;TARIFA;ASSENTOS
2024;12;AAL;SBGL;KDFW;9999;Y;NA;460,00;1
2024;12;AAL;SBGL;KDFW;9999;Y;NA;470,00;1
2024;12;AAL;SBGL;KDFW;9999;Y;NA;480,00;1
2024;12;AAL;SBGL;KDFW;SBGL;Y;Y;1120,00;1
2024;12;AAL;SBGL;KDFW;SBGL;Y;Y;1655,00;1
2024;12;AAL;SBGL;KDFW;SBGL;Y;Y;1760,00;2
2024;12;AAL;SBGL;KJFK;9999;J;NA;909,00;2
2024;12;AAL;SBGL;KJFK;9999;J;NA;1800,00;2
2024;12;AAL;SBGL;KJFK;9999;J;NA;1900,00;1
2024;12;AAL;SBGL;KJFK;9999;J;NA;8999,00;1
2024;12;AAL;SBGL;KJFK;9999;Y;NA;300,00;3
2024;12;AAL;SBGL;KJFK;9999;Y;NA;350,00;2
2024;12;AAL;SBGL;KJFK;9999;Y;NA;370,00;1
2024;12;AAL;SBGL;KJFK;9999;Y;NA;390,00;3
2024;12;AAL;SBGL;KJFK;9999;Y;NA;400,00;1
2024;12;AAL;SBGL;KJFK;9999;Y;NA;414,00;1
2024;12;AAL;SBGL;KJFK;9999;Y;NA;420,00;6
2024;12;AAL;SBGL;KJFK;9999;Y;NA;460,00;1
2024;12;AAL;SBGL;KJFK;9999;Y;NA;470,00;1
2024;12;AAL;SBGL;KJFK;9999;Y;NA;490,00;2
2024;12;AAL;SBGL;KJFK;9999;Y;NA;530,00;3
2024;12;AAL;SBGL;KJFK;9999;Y;NA;620,00;5
2024;12;AAL;SBGL;KJFK;9999;Y;NA;700,00;2
2024;12;AAL;SBGL;KJFK;9999;Y;NA;1180,00;1
2024;12;AAL;SBGL;KJFK;9999;Y;NA;1250,00;2
2024;12;AAL;SBGL;KJFK;SBGL;J;J;1209,00;1
2024;12;AAL;SBGL;KJFK;SBGL;J;J;1473,00;1
2024;12;AAL;SBGL;KJFK;SBGL;J;J;1589,00;1
2024;12;AAL;SBGL;KJFK;SBGL;J;J;1640,00;1
2024;12;AAL;SBGL;KJFK;SBGL;J;J;1660,00;2
2024;12;AAL;SBGL;KJFK;SBGL;J;J;1785,00;3
2024;12;AAL;SBGL;KJFK;SBGL;J;J;1900,00;3
2024;12;AAL;SBGL;KJFK;SBGL;J;J;1920,00;1
2024;12;AAL;SBGL;KJFK;SBGL;J;J;2000,00;2
2024;12;AAL;SBGL;KJFK;SBGL;J;J;2340,00;2
2024;12;AAL;SBGL;KJFK;SBGL;J;J;2600,00;2
2024;12;AAL;SBGL;KJFK;SBGL;J;J;2620,00;3
2024;12;AAL;SBGL;KJFK;SBGL;J;J;2645,00;1
2024;12;AAL;SBGL;KJFK;SBGL;J;J;2815,00;1
2024;12;AAL;SBGL;KJFK;SBGL;J;J;2845,00;2
2024;12;AAL;SBGL;KJFK;SBGL;J;J;2850,00;2
2024;12;AAL;SBGL;KJFK;SBGL;J;J;2950,00;1
2024;12;AAL;SBGL;KJFK;SBGL;J;J;3100,00;6
2024;12;AAL;SBGL;KJFK;SBGL;J;J;3150,00;1
2024;12;AAL;SBGL;KJFK;SBGL;J;J;3450,00;1
2024;12;AAL;SBGL;KJFK;SBGL;J;J;3550,00;4
2024;12;AAL;SBGL;KJFK;SBGL;J;J;3600,00;2
2024;12;AAL;SBGL;KJFK;SBGL;J;J;3650,00;1
2024;12;AAL;SBGL;KJFK;SBGL;J;J;4050,00;1
2024;12;AAL;SBGL;KJFK;SBGL;J;J;4100,00;1
2024;12;AAL;SBGL;KJFK;SBGL;J;J;4150,00;2
2024;12;AAL;SBGL;KJFK;SBGL;J;J;4160,00;2
2024;12;AAL;SBGL;KJFK;SBGL;J;J;4350,00;1
2024;12;AAL;SBGL;KJFK;SBGL;J;J;4650,00;1
2024;12;AAL;SBGL;KJFK;SBGL;J;J;5200,00;1
2024;12;AAL;SBGL;KJFK;SBGL;J;J;5700,00;3
2024;12;AAL;SBGL;KJFK;SBGL;J;J;5850,00;2
2024;12;AAL;SBGL;KJFK;SBGL;J;J;6050,00;2
2024;12;AAL;SBGL;KJFK;SBGL;J;J;6100,00;1
2024;12;AAL;SBGL;KJFK;SBGL;J;J;6150,00;1
2024;12;AAL;SBGL;KJFK;SBGL;J;J;6250,00;1
2024;12;AAL;SBGL;KJFK;SBGL;J;J;6400,00;3
2024;12;AAL;SBGL;KJFK;SBGL;J;J;7800,00;1
2024;12;AAL;SBGL;KJFK;SBGL;J;Y;2380,00;1
2024;12;AAL;SBGL;KJFK;SBGL;Y;J;1425,00;1
2024;12;AAL;SBGL;KJFK;SBGL;Y;Y;420,00;3
2024;12;AAL;SBGL;KJFK;SBGL;Y;Y;430,00;2
2024;12;AAL;SBGL;KJFK;SBGL;Y;Y;460,00;1
2024;12;AAL;SBGL;KJFK;SBGL;Y;Y;500,00;2
