ANO;MES;EMPRESA;ORIGEM;DESTINO;RETORNO;CLASSE IDA;CLASSE VOLTA;TARIFA;ASSENTOS
2024;1;AAL;SBGL;KJFK;9999;J;NA;1145,00;1
2024;1;AAL;SBGL;KJFK;9999;J;NA;3770,00;1
2024;1;AAL;SBGL;KJFK;9999;Y;NA;323,00;7
2024;1;AAL;SBGL;KJFK;9999;Y;NA;338,00;2
2024;1;AAL;SBGL;KJFK;9999;Y;NA;387,00;3
2024;1;AAL;SBGL;KJFK;9999;Y;NA;393,00;1
2024;1;AAL;SBGL;KJFK;9999;Y;NA;407,00;2
2024;1;AAL;SBGL;KJFK;9999;Y;NA;457,00;5
2024;1;AAL;SBGL;KJFK;9999;Y;NA;507,00;1
2024;1;AAL;SBGL;KJFK;9999;Y;NA;515,00;1
2024;1;AAL;SBGL;KJFK;9999;Y;NA;540,00;2
2024;1;AAL;SBGL;KJFK;9999;Y;NA;570,00;1
2024;1;AAL;SBGL;KJFK;9999;Y;NA;585,00;3
2024;1;AAL;SBGL;KJFK;9999;Y;NA;635,00;5
2024;1;AAL;SBGL;KJFK;9999;Y;NA;755,00;1
2024;1;AAL;SBGL;KJFK;9999;Y;NA;770,00;2
2024;1;AAL;SBGL;KJFK;SBGL;J;J;1954,00;3
2024;1;AAL;SBGL;KJFK;SBGL;J;J;2184,00;1
2024;1;AAL;SBGL;KJFK;SBGL;J;J;2192,00;2
2024;1;AAL;SBGL;KJFK;SBGL;J;J;2199,00;2
2024;1;AAL;SBGL;KJFK;SBGL;J;J;3540,00;3
2024;1;AAL;SBGL;KJFK;SBGL;J;J;4040,00;1
2024;1;AAL;SBGL;KJFK;SBGL;J;J;4140,00;1
2024;1;AAL;SBGL;KJFK;SBGL;J;J;4159,94;1
2024;1;AAL;SBGL;KJFK;SBGL;J;J;4540,00;1
2024;1;AAL;SBGL;KJFK;SBGL;J;J;4740,00;5
2024;1;AAL;SBGL;KJFK;SBGL;J;J;5040,00;5
2024;1;AAL;SBGL;KJFK;SBGL;J;J;5140,00;1
2024;1;AAL;SBGL;KJFK;SBGL;J;J;5240,00;1
2024;1;AAL;SBGL;KJFK;SBGL;J;J;5990,00;1
2024;1;AAL;SBGL;KJFK;SBGL;J;J;7740,00;2
2024;1;AAL;SBGL;KJFK;SBGL;J;Y;5639,00;1
2024;1;AAL;SBGL;KJFK;SBGL;Y;J;7439,00;1
2024;1;AAL;SBGL;KJFK;SBGL;Y;Y;786,00;1
2024;1;AAL;SBGL;KJFK;SBGL;Y;Y;806,00;1
2024;1;AAL;SBGL;KJFK;SBGL;Y;Y;909,00;2
2024;1;AAL;SBGL;KJFK;SBGL;Y;Y;934,00;1
2024;1;AAL;SBGL;KJFK;SBGL;Y;Y;1039,00;1
2024;1;AAL;SBGL;KJFK;SBGL;Y;Y;1049,00;2
2024;1;AAL;SBGL;KJFK;SBGL;Y;Y;1075,00;2
2024;1;AAL;SBGL;KJFK;SBGL;Y;Y;1085,00;1
2024;1;AAL;SBGL;KJFK;SBGL;Y;Y;1105,00;4
2024;1;AAL;SBGL;KJFK;SBGL;Y;Y;1142,00;1
2024;1;AAL;SBGL;KJFK;SBGL;Y;Y;1170,00;1
2024;1;AAL;SBGL;KJFK;SBGL;Y;Y;1225,00;1
2024;1;AAL;SBGL;KJFK;SBGL;Y;Y;1262,00;2
2024;1;AAL;SBGL;KJFK;SBGL;Y;Y;1290,00;1
2024;1;AAL;SBGL;KJFK;SBGL;Y;Y;1308,00;1
2024;1;AAL;SBGL;KJFK;SBGL;Y;Y;1325,00;1
2024;1;AAL;SBGL;KJFK;SBGL;Y;Y;1384,00;5
