nr_ano_referencia;nr_mes_referencia;sg_empresa_icao;sg_icao_origem;sg_icao_destino;sg_icao_retorno;cd_classe_ida;cd_classe_volta;nr_tarifa;nr_assentos
2025;5;AAL;SBGL;KJFK;9999;J;;2200.0;2
2025;5;AAL;SBGL;KJFK;9999;Y;;418.0;2
2025;5;AAL;SBGL;KJFK;9999;Y;;420.0;1
2025;5;AAL;SBGL;KJFK;SBGL;J;J;1600.0;6
2025;5;AAL;SBGL;KJFK;SBGL;J;J;1650.0;3
2025;5;AAL;SBGL;KJFK;SBGL;J;J;1696.0;1
2025;5;AAL;SBGL;KJFK;SBGL;J;J;3285.0;1
2025;5;AAL;SBGL;KJFK;SBGL;J;J;3785.0;4
2025;5;AAL;SBGL;KJFK;SBGL;J;J;4700.0;1
2025;5;AAL;SBGL;KJFK;SBGL;J;J;9800.0;1
2025;5;AAL;SBGL;KJFK;SBGL;Y;Y;740.0;2
2025;5;AAL;SBGL;KJFK;SBGL;Y;Y;840.0;1
2025;5;AAL;SBGL;KJFK;SBGL;Y;Y;880.0;12
2025;5;AAL;SBGL;KJFK;SBGL;Y;Y;920.0;1
2025;5;AAL;SBGL;KJFK;SBGL;Y;Y;1055.0;2
2025;5;AAL;SBGL;KJFK;SBGL;Y;Y;1222.0;1
2025;5;AAL;SBGL;KJFK;SBGL;Y;Y;1734.0;1
2025;5;AAL;SBGL;KMIA;9999;J;;1024.0;1
2025;5;AAL;SBGL;KMIA;9999;J;;1066.0;2
2025;5;AAL;SBGL;KMIA;9999;J;;1096.0;1
2025;5;AAL;SBGL;KMIA;9999;J;;1139.0;1
2025;5;AAL;SBGL;KMIA;9999;J;;1351.0;3
2025;5;AAL;SBGL;KMIA;9999;J;;2400.0;1
2025;5;AAL;SBGL;KMIA;9999;J;;2650.0;5
2025;5;AAL;SBGL;KMIA;9999;J;;3900.0;1
2025;5;AAL;SBGL;KMIA;9999;Y;;420.0;1
2025;5;AAL;SBGL;KMIA;9999;Y;;521.0;2
2025;5;AAL;SBGL;KMIA;9999;Y;;624.0;5
2025;5;AAL;SBGL;KMIA;9999;Y;;654.0;7
2025;5;AAL;SBGL;KMIA;9999;Y;;664.0;1
2025;5;AAL;SBGL;KMIA;9999;Y;;690.0;3
2025;5;AAL;SBGL;KMIA;9999;Y;;706.0;3
2025;5;AAL;SBGL;KMIA;9999;Y;;717.0;2
2025;5;AAL;SBGL;KMIA;9999;Y;;736.0;1
2025;5;AAL;SBGL;KMIA;9999;Y;;779.0;4
2025;5;AAL;SBGL;KMIA;9999;Y;;1024.0;3
2025;5;AAL;SBGL;KMIA;9999;Y;;1510.0;1
2025;5;AAL;SBGL;KMIA;SBGL;J;J;1574.0;1
2025;5;AAL;SBGL;KMIA;SBGL;J;J;1579.0;2
2025;5;AAL;SBGL;KMIA;SBGL;J;J;1703.0;1
2025;5;AAL;SBGL;KMIA;SBGL;J;J;1756.0;2
2025;5;AAL;SBGL;KMIA;SBGL;J;J;1773.0;1
2025;5;AAL;SBGL;KMIA;SBGL;J;J;1787.0;1
2025;5;AAL;SBGL;KMIA;SBGL;J;J;1812.0;2
2025;5;AAL;SBGL;KMIA;SBGL;J;J;1826.0;1
2025;5;AAL;SBGL;KMIA;SBGL;J;J;1834.0;2
2025;5;AAL;SBGL;KMIA;SBGL;J;J;2030.0;3
2025;5;AAL;SBGL;KMIA;SBGL;J;J;2060.0;1
2025;5;AAL;SBGL;KMIA;SBGL;J;J;2076.0;1
2025;5;AAL;SBGL;KMIA;SBGL;J;J;2095.0;2
2025;5;AAL;SBGL;KMIA;SBGL;J;J;2226.0;3
2025;5;AAL;SBGL;KMIA;SBGL;J;J;2262.0;2
2025;5;AAL;SBGL;KMIA;SBGL;J;J;2340.0;2
2025;5;AAL;SBGL;KMIA;SBGL;J;J;2341.0;3
2025;5;AAL;SBGL;KMIA;SBGL;J;J;2369.0;4
2025;5;AAL;SBGL;KMIA;SBGL;J;J;2402.0;2
2025;5;AAL;SBGL;KMIA;SBGL;J;J;2405.0;2
2025;5;AAL;SBGL;KMIA;SBGL;J;J;2415.0;1
2025;5;AAL;SBGL;KMIA;SBGL;J;J;2430.0;2
