nr_ano_referencia;nr_mes_referencia;sg_empresa_icao;sg_icao_origem;sg_icao_destino;sg_icao_retorno;cd_classe_ida;cd_classe_volta;nr_tarifa;nr_assentos
2025;1;AAL;SBGL;KDFW;9999;Y;;360.0;1
2025;1;AAL;SBGL;KDFW;SBGL;J;J;1600.0;1
2025;1;AAL;SBGL;KDFW;SBGL;Y;Y;550.0;1
2025;1;AAL;SBGL;KDFW;SBGL;Y;Y;850.0;1
2025;1;AAL;SBGL;KDFW;SBGL;Y;Y;980.0;1
2025;1;AAL;SBGL;KDFW;SBGL;Y;Y;990.0;1
2025;1;AAL;SBGL;KDFW;SBGL;Y;Y;1220.0;1
2025;1;AAL;SBGL;KDFW;SBGL;Y;Y;1449.0;1
2025;1;AAL;SBGL;KJFK;9999;J;;790.0;1
2025;1;AAL;SBGL;KJFK;9999;J;;1650.0;2
2025;1;AAL;SBGL;KJFK;9999;Y;;360.0;1
2025;1;AAL;SBGL;KJFK;9999;Y;;407.0;1
2025;1;AAL;SBGL;KJFK;9999;Y;;420.0;3
2025;1;AAL;SBGL;KJFK;9999;Y;;488.0;1
2025;1;AAL;SBGL;KJFK;9999;Y;;490.0;1
2025;1;AAL;SBGL;KJFK;9999;Y;;510.0;3
2025;1;AAL;SBGL;KJFK;9999;Y;;520.0;1
2025;1;AAL;SBGL;KJFK;9999;Y;;580.0;3
2025;1;AAL;SBGL;KJFK;9999;Y;;800.0;2
2025;1;AAL;SBGL;KJFK;9999;Y;;1205.0;1
2025;1;AAL;SBGL;KJFK;9999;Y;;3099.0;1
2025;1;AAL;SBGL;KJFK;SBGL;J;J;1260.0;1
2025;1;AAL;SBGL;KJFK;SBGL;J;J;1303.0;1
2025;1;AAL;SBGL;KJFK;SBGL;J;J;1310.0;2
2025;1;AAL;SBGL;KJFK;SBGL;J;J;1648.0;2
2025;1;AAL;SBGL;KJFK;SBGL;J;J;1748.0;2
2025;1;AAL;SBGL;KJFK;SBGL;J;J;2048.0;1
2025;1;AAL;SBGL;KJFK;SBGL;J;J;2197.0;1
2025;1;AAL;SBGL;KJFK;SBGL;J;J;2323.0;2
2025;1;AAL;SBGL;KJFK;SBGL;J;J;2800.0;5
2025;1;AAL;SBGL;KJFK;SBGL;J;J;2850.0;2
2025;1;AAL;SBGL;KJFK;SBGL;J;J;2900.0;2
2025;1;AAL;SBGL;KJFK;SBGL;J;J;2950.0;3
2025;1;AAL;SBGL;KJFK;SBGL;J;J;3100.0;1
2025;1;AAL;SBGL;KJFK;SBGL;J;J;3150.0;3
2025;1;AAL;SBGL;KJFK;SBGL;J;J;3350.0;4
2025;1;AAL;SBGL;KJFK;SBGL;J;J;3600.0;2
