nr_ano_referencia;nr_mes_referencia;sg_empresa_icao;sg_icao_origem;sg_icao_destino;sg_icao_retorno;cd_classe_ida;cd_classe_volta;nr_tarifa;nr_assentos
2025;2;AAL;SBGL;KDFW;9999;Y;;460.0;1
2025;2;AAL;SBGL;KDFW;SBGL;J;J;2030.0;1
2025;2;AAL;SBGL;KDFW;SBGL;J;J;2140.0;1
2025;2;AAL;SBGL;KDFW;SBGL;J;J;2220.0;1
2025;2;AAL;SBGL;KDFW;SBGL;J;J;7200.0;2
2025;2;AAL;SBGL;KDFW;SBGL;Y;Y;730.0;1
2025;2;AAL;SBGL;KDFW;SBGL;Y;Y;860.0;1
2025;2;AAL;SBGL;KDFW;SBGL;Y;Y;880.0;1
2025;2;AAL;SBGL;KDFW;SBGL;Y;Y;900.0;1
2025;2;AAL;SBGL;KDFW;SBGL;Y;Y;910.0;2
2025;2;AAL;SBGL;KDFW;SBGL;Y;Y;950.0;2
2025;2;AAL;SBGL;KDFW;SBGL;Y;Y;1036.0;1
2025;2;AAL;SBGL;KDFW;SBGL;Y;Y;1140.0;1
2025;2;AAL;SBGL;KDFW;SBGL;Y;Y;1147.0;1
2025;2;AAL;SBGL;KDFW;SBGL;Y;Y;1180.0;2
2025;2;AAL;SBGL;KDFW;SBGL;Y;Y;1216.0;1
2025;2;AAL;SBGL;KDFW;SBGL;Y;Y;1256.0;3
2025;2;AAL;SBGL;KDFW;SBGL;Y;Y;1267.0;3
2025;2;AAL;SBGL;KDFW;SBGL;Y;Y;1320.0;1
2025;2;AAL;SBGL;KDFW;SBGL;Y;Y;1360.0;1
2025;2;AAL;SBGL;KDFW;SBGL;Y;Y;1460.0;1
2025;2;AAL;SBGL;KDFW;SBGR;Y;Y;675.0;3
2025;2;AAL;SBGL;KDFW;SBGR;Y;Y;725.0;1
2025;2;AAL;SBGL;KDFW;SBGR;Y;Y;940.0;1
2025;2;AAL;SBGL;KDFW;SBGR;Y;Y;945.0;4
2025;2;AAL;SBGL;KJFK;9999;J;;850.0;2
2025;2;AAL;SBGL;KJFK;9999;J;;1950.0;1
2025;2;AAL;SBGL;KJFK;9999;J;;2600.0;2
2025;2;AAL;SBGL;KJFK;9999;J;;3000.0;2
2025;2;AAL;SBGL;KJFK;9999;J;;3650.0;1
2025;2;AAL;SBGL;KJFK;9999;Y;;370.0;1
2025;2;AAL;SBGL;KJFK;9999;Y;;400.0;1
2025;2;AAL;SBGL;KJFK;9999;Y;;420.0;2
2025;2;AAL;SBGL;KJFK;9999;Y;;460.0;1
2025;2;AAL;SBGL;KJFK;9999;Y;;470.0;1
2025;2;AAL;SBGL;KJFK;9999;Y;;490.0;1
2025;2;AAL;SBGL;KJFK;9999;Y;;510.0;2
2025;2;AAL;SBGL;KJFK;SBGL;J;J;1290.0;1
2025;2;AAL;SBGL;KJFK;SBGL;J;J;1310.0;1
2025;2;AAL;SBGL;KJFK;SBGL;J;J;1360.0;1
2025;2;AAL;SBGL;KJFK;SBGL;J;J;1600.0;2
