"";"Ano de Referência";"Mês de Referência";"ICAO Empresa Aérea";"ICAO Aeródromo Origem";"ICAO Aeródromo Destino";"ICAO Aeródromo Retorno";"Tarifa-Nominal";"Assentos"
"1";2023;5;"AAL";"SBGL";"KMIA";"9999";"2100,";3
"2";2023;5;"AAL";"SBGR";"KJFK";"SBGR";"702,";10
"3";2023;5;"AAL";"SBGR";"KJFK";"SBGR";"703,";2
"4";2023;5;"AAL";"SBGL";"KMIA";"SBGL";"715,";2
"5";2023;5;"AAL";"SBGR";"KJFK";"9999";"518,";8
"6";2023;5;"AAL";"SBGR";"KMIA";"SBGR";"720,";12
"7";2023;5;"AAL";"SBGR";"KJFK";"SBGR";"729,";1
"8";2023;5;"AAL";"SBGR";"KMIA";"SBGR";"730,";2
"9";2023;5;"AAL";"SBGR";"KMIA";"SBGR";"733,";7
"10";2023;5;"AAL";"SBGR";"KJFK";"SBGR";"2286,";3
"11";2023;5;"AAL";"SBGR";"KDFW";"SBGR";"2362,";1
"12";2023;5;"AAL";"SBGR";"KMIA";"SBGR";"2278,";2
"13";2023;5;"AAL";"SBGR";"KDFW";"SBGR";"2360,";3
"14";2023;5;"AAL";"SBGR";"KMIA";"SBGR";"2276,";2
"15";2023;5;"AAL";"SBGR";"KMIA";"SBGR";"2355,";4
"16";2023;5;"AAL";"SBGR";"KJFK";"SBGR";"2347,";1
"17";2023;5;"AAL";"SBGL";"KMIA";"SBGR";"2275,";1
"18";2023;5;"AAL";"SBGR";"KMIA";"SBGR";"2337,";2
"19";2023;5;"AAL";"SBGR";"KMIA";"SBGR";"2270,";6
"20";2023;5;"AAL";"SBGR";"KJFK";"SBGR";"2337,";3
"21";2023;5;"AAL";"SBGR";"KMIA";"SBGR";"2250,";1
"22";2023;5;"AAL";"SBGR";"KJFK";"SBGR";"2336,";1
"23";2023;5;"AAL";"SBGR";"KMIA";"SBGR";"2239,";2
"24";2023;5;"AAL";"SBGR";"KMIA";"SBGR";"2330,";7
"25";2023;5;"AAL";"SBGR";"KMIA";"SBGR";"2238,";1
"26";2023;5;"AAL";"SBGR";"KMIA";"SBGR";"2215,";2
"27";2023;5;"AAL";"SBGR";"KJFK";"9999";"2120,";2
"28";2023;5;"AAL";"SBGR";"KMIA";"SBGR";"2200,";33
"29";2023;5;"AAL";"SBGR";"KJFK";"SBGR";"2192,";5
"30";2023;5;"AAL";"SBGR";"KJFK";"SBGR";"2187,";1
"31";2023;5;"AAL";"SBGR";"KMIA";"SBGR";"2201,";1
"32";2023;5;"AAL";"SBGR";"KJFK";"SBGR";"2123,";1
"33";2023;5;"AAL";"SBGR";"KJFK";"SBGR";"2009,";3
"34";2023;5;"AAL";"SBGL";"KMIA";"SBGL";"1915,";2
"35";2023;5;"AAL";"SBGR";"KMIA";"SBGR";"2000,";1
"36";2023;5;"AAL";"SBGR";"KJFK";"SBGR";"1909,";1
"37";2023;5;"AAL";"SBGR";"KMIA";"SBGR";"1995,";3
"38";2023;5;"AAL";"SBGR";"KJFK";"SBGR";"1987,";1
"39";2023;5;"AAL";"SBGR";"KMIA";"SBGR";"1840,";1
"40";2023;5;"AAL";"SBGR";"KJFK";"SBGR";"1976,";1
"41";2023;5;"AAL";"SBGR";"KMIA";"SBGR";"1835,";2
"42";2023;5;"AAL";"SBGR";"KMIA";"SBGR";"1965,";3
"43";2023;5;"AAL";"SBGR";"KMIA";"SBGR";"1800,";1
"44";2023;5;"AAL";"SBGR";"KMIA";"SBGR";"1955,";1
"45";2023;5;"AAL";"SBGR";"KJFK";"SBGR";"1786,";7
"46";2023;5;"AAL";"SBGL";"KMIA";"SBGL";"1951,";2
"47";2023;5;"AAL";"SBGR";"KMIA";"SBGR";"1770,";3
"48";2023;5;"AAL";"SBGR";"KJFK";"SBGR";"1740,";3
"49";2023;5;"AAL";"SBGR";"KMIA";"SBGR";"1738,";6
"50";2023;5;"AAL";"SBGR";"KMIA";"SBGR";"1730,";2
"51";2023;5;"AAL";"SBGR";"KMIA";"9999";"330,";1
"52";2023;5;"AAL";"SBGR";"KMIA";"SBGR";"1660,";11
"53";2023;5;"AAL";"SBGL";"KMIA";"SBGL";"1720,";1
"54";2023;5;"AAL";"SBGR";"KDFW";"SBGR";"1659,";1
"55";2023;5;"AAL";"SBGR";"KMIA";"SBGR";"1643,";1
"56";2023;5;"AAL";"SBGR";"KMIA";"SBGR";"1640,";1
"57";2023;5;"AAL";"SBGR";"KMIA";"SBGR";"1618,";1
