"";"Ano de Referência";"Mês de Referência";"ICAO Empresa Aérea";"ICAO Aeródromo Origem";"ICAO Aeródromo Destino";"ICAO Aeródromo Retorno";"Tarifa-Nominal";"Assentos"
"82";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1396,";2
"83";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1371,";4
"84";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1396,";1
"85";2023;7;"AAL";"SBGR";"KMIA";"9999";"898,";2
"86";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1393,";2
"87";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1370,";2
"88";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1281,";5
"89";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1368,";4
"90";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1280,";2
"91";2023;7;"AAL";"SBGR";"KDFW";"SBGR";"1357,";1
"92";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1276,";2
"93";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1274,";3
"94";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"2044,";2
"95";2023;7;"AAL";"SBGR";"KDFW";"SBGR";"1267,";8
"96";2023;7;"AAL";"SBGL";"KJFK";"SBGL";"1354,";2
"97";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1266,";1
"98";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1350,";6
"99";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1346,";1
"100";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1346,";4
"101";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1318,";2
"102";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1315,";1
"103";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1263,";1
"104";2023;7;"AAL";"SBGR";"KDFW";"SBGR";"1312,";1
"105";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1306,";1
"106";2023;7;"AAL";"SBGR";"KDFW";"SBGR";"1306,";2
"107";2023;7;"AAL";"SBGR";"KDFW";"SBGR";"1301,";1
"108";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1339,";2
"109";2023;7;"AAL";"SBGR";"KDFW";"SBGR";"1337,";2
"110";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1333,";1
"111";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1331,";2
"112";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1260,";7
"113";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1329,";3
"114";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1295,";1
"115";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1260,";1
"116";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1295,";2
"117";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1289,";6
"118";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1325,";2
"119";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1320,";1
"120";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1256,";8
"121";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1320,";2
"122";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1286,";2
"123";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1254,";2
"124";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1285,";4
"125";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1285,";2
"126";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1196,";4
"127";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1251,";2
"128";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1243,";1
"129";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1253,";2
"130";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1234,";8
"131";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1233,";3
"132";2023;7;"AAL";"SBGR";"KDFW";"SBGR";"1196,";1
"133";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1183,";1
"134";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1194,";1
"135";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1191,";2
"136";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1226,";2
"137";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1182,";2
"138";2023;7;"AAL";"SBGR";"KDFW";"SBGR";"1225,";1
"139";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1224,";2
"140";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1190,";2
"141";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1180,";1
"142";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1189,";2
"143";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1189,";3
"144";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1220,";7
"145";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1178,";1
"146";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1213,";2
"147";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1210,";1
"148";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1188,";1
"149";2023;7;"AAL";"SBGL";"KMIA";"SBGL";"1178,";5
"150";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1186,";1
"151";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1186,";2
"152";2023;7;"AAL";"SBGR";"KDFW";"SBGR";"1209,";1
"153";2023;7;"AAL";"SBGR";"KMIA";"SBGR";"1177,";2
"154";2023;7;"AAL";"SBGR";"KJFK";"SBGR";"1207,";1
