ANO;MES;EMPRESA;ORIGEM;DESTINO;RETORNO;CLASSE IDA;CLASSE VOLTA;TARIFA;ASSENTOS
2021;8;AAL;SBGL;KJFK;9999;Y;NA;354,00;2
2021;8;AAL;SBGL;KJFK;SBGL;J;J;1586,00;2
2021;8;AAL;SBGL;KJFK;SBGL;J;J;1660,00;2
2021;8;AAL;SBGL;KJFK;SBGL;J;J;3195,00;2
2021;8;AAL;SBGL;KJFK;SBGL;Y;Y;407,00;3
2021;8;AAL;SBGL;KJFK;SBGL;Y;Y;512,00;1
2021;8;AAL;SBGL;KJFK;SBGL;Y;Y;537,00;4
2021;8;AAL;SBGL;KMIA;9999;J;NA;1659,00;1
2021;8;AAL;SBGL;KMIA;9999;Y;NA;237,00;4
2021;8;AAL;SBGL;KMIA;SBGL;J;J;528,00;2
2021;8;AAL;SBGL;KMIA;SBGL;J;J;716,00;2
2021;8;AAL;SBGL;KMIA;SBGL;J;J;794,00;4
2021;8;AAL;SBGL;KMIA;SBGL;J;J;880,00;2
2021;8;AAL;SBGL;KMIA;SBGL;J;J;882,00;1
2021;8;AAL;SBGL;KMIA;SBGL;J;J;920,00;5
2021;8;AAL;SBGL;KMIA;SBGL;J;J;1050,00;2
2021;8;AAL;SBGL;KMIA;SBGL;J;J;1182,00;1
2021;8;AAL;SBGL;KMIA;SBGL;J;J;1324,00;1
2021;8;AAL;SBGL;KMIA;SBGL;J;J;1512,00;1
2021;8;AAL;SBGL;KMIA;SBGL;J;J;1764,00;1
2021;8;AAL;SBGL;KMIA;SBGL;J;J;1794,00;3
2021;8;AAL;SBGL;KMIA;SBGL;J;J;1824,00;4
2021;8;AAL;SBGL;KMIA;SBGL;J;J;2408,00;2
2021;8;AAL;SBGL;KMIA;SBGL;J;J;2546,00;3
2021;8;AAL;SBGL;KMIA;SBGL;J;J;2586,00;1
2021;8;AAL;SBGL;KMIA;SBGL;J;J;4003,00;2
2021;8;AAL;SBGL;KMIA;SBGL;Y;Y;282,00;3
2021;8;AAL;SBGL;KMIA;SBGL;Y;Y;344,00;6
2021;8;AAL;SBGL;KMIA;SBGL;Y;Y;394,00;1
2021;8;AAL;SBGL;KMIA;SBGL;Y;Y;397,00;2
2021;8;AAL;SBGL;KMIA;SBGL;Y;Y;474,00;1
2021;8;AAL;SBGL;KMIA;SBGL;Y;Y;530,00;4
2021;8;AAL;SBGL;KMIA;SBGL;Y;Y;558,00;1
2021;8;AAL;SBGL;KMIA;SBGL;Y;Y;575,00;4
2021;8;AAL;SBGL;KMIA;SBGL;Y;Y;632,00;5
2021;8;AAL;SBGL;KMIA;SBGL;Y;Y;657,00;1
2021;8;AAL;SBGL;KMIA;SBGL;Y;Y;771,00;4
2021;8;AAL;SBGL;KMIA;SBGL;Y;Y;836,00;1
2021;8;AAL;SBGR;KDFW;9999;J;NA;1900,00;2
2021;8;AAL;SBGR;KDFW;9999;Y;NA;630,00;1
2021;8;AAL;SBGR;KDFW;9999;Y;NA;695,00;2
2021;8;AAL;SBGR;KDFW;9999;Y;NA;720,00;7
2021;8;AAL;SBGR;KDFW;SBGR;Y;Y;806,00;1
2021;8;AAL;SBGR;KDFW;SBGR;Y;Y;926,00;2
2021;8;AAL;SBGR;KDFW;SBGR;Y;Y;1210,00;2
2021;8;AAL;SBGR;KDFW;SBGR;Y;Y;1285,00;1
2021;8;AAL;SBGR;KDFW;SBGR;Y;Y;1360,00;1
2021;8;AAL;SBGR;KDFW;SBGR;Y;Y;1390,00;1
2021;8;AAL;SBGR;KJFK;9999;J;NA;570,00;1
2021;8;AAL;SBGR;KJFK;9999;J;NA;650,00;1
2021;8;AAL;SBGR;KJFK;9999;J;NA;969,00;2
2021;8;AAL;SBGR;KJFK;9999;J;NA;1214,00;6
2021;8;AAL;SBGR;KJFK;9999;J;NA;2260,00;2
2021;8;AAL;SBGR;KJFK;9999;J;NA;2285,00;1
2021;8;AAL;SBGR;KJFK;9999;Y;NA;345,00;3
2021;8;AAL;SBGR;KJFK;9999;Y;NA;360,00;1
2021;8;AAL;SBGR;KJFK;9999;Y;NA;395,00;6
2021;8;AAL;SBGR;KJFK;9999;Y;NA;410,00;2
2021;8;AAL;SBGR;KJFK;9999;Y;NA;435,00;1
2021;8;AAL;SBGR;KJFK;9999;Y;NA;440,00;1
2021;8;AAL;SBGR;KJFK;9999;Y;NA;460,00;1
2021;8;AAL;SBGR;KJFK;SBGR;F;F;2650,00;4
2021;8;AAL;SBGR;KJFK;SBGR;J;J;390,00;5
2021;8;AAL;SBGR;KJFK;SBGR;J;J;1080,00;5
2021;8;AAL;SBGR;KJFK;SBGR;J;J;1090,00;1
2021;8;AAL;SBGR;KJFK;SBGR;J;J;1120,00;1
2021;8;AAL;SBGR;KJFK;SBGR;J;J;1195,00;2
2021;8;AAL;SBGR;KJFK;SBGR;J;J;1222,00;2
2021;8;AAL;SBGR;KJFK;SBGR;J;J;1300,00;1
2021;8;AAL;SBGR;KJFK;SBGR;J;J;1350,00;1
2021;8;AAL;SBGR;KJFK;SBGR;J;J;1408,00;1
2021;8;AAL;SBGR;KJFK;SBGR;J;J;1480,00;16
2021;8;AAL;SBGR;KJFK;SBGR;J;J;1490,00;4
2021;8;AAL;SBGR;KJFK;SBGR;J;J;1500,00;1
2021;8;AAL;SBGR;KJFK;SBGR;J;J;1698,00;5
2021;8;AAL;SBGR;KJFK;SBGR;J;J;1700,00;2
2021;8;AAL;SBGR;KJFK;SBGR;J;J;1916,00;8
2021;8;AAL;SBGR;KJFK;SBGR;J;J;1994,00;1
2021;8;AAL;SBGR;KJFK;SBGR;J;J;2018,00;1
2021;8;AAL;SBGR;KJFK;SBGR;J;J;2029,00;2
2021;8;AAL;SBGR;KJFK;SBGR;J;J;2258,00;2
2021;8;AAL;SBGR;KJFK;SBGR;J;J;2326,00;1
2021;8;AAL;SBGR;KJFK;SBGR;J;J;3294,00;4
2021;8;AAL;SBGR;KJFK;SBGR;J;Y;1428,00;1
2021;8;AAL;SBGR;KJFK;SBGR;Y;Y;390,00;4
2021;8;AAL;SBGR;KJFK;SBGR;Y;Y;410,00;1
2021;8;AAL;SBGR;KJFK;SBGR;Y;Y;520,00;1
2021;8;AAL;SBGR;KJFK;SBGR;Y;Y;563,00;1
2021;8;AAL;SBGR;KJFK;SBGR;Y;Y;600,00;25
2021;8;AAL;SBGR;KJFK;SBGR;Y;Y;620,00;2
2021;8;AAL;SBGR;KJFK;SBGR;Y;Y;635,00;1
2021;8;AAL;SBGR;KJFK;SBGR;Y;Y;640,00;1
2021;8;AAL;SBGR;KJFK;SBGR;Y;Y;700,00;1
2021;8;AAL;SBGR;KJFK;SBGR;Y;Y;709,00;3
2021;8;AAL;SBGR;KJFK;SBGR;Y;Y;715,00;1
2021;8;AAL;SBGR;KJFK;SBGR;Y;Y;730,00;2
2021;8;AAL;SBGR;KJFK;SBGR;Y;Y;740,00;3
2021;8;AAL;SBGR;KJFK;SBGR;Y;Y;770,00;1
2021;8;AAL;SBGR;KJFK;SBGR;Y;Y;860,00;1
2021;8;AAL;SBGR;KJFK;SBGR;Y;Y;890,00;1
2021;8;AAL;SBGR;KJFK;SBGR;Y;Y;938,00;1
2021;8;AAL;SBGR;KJFK;SBGR;Y;Y;941,00;1
2021;8;AAL;SBGR;KJFK;SBGR;Y;Y;1472,00;1
2021;8;AAL;SBGR;KJFK;SBGR;Y;Y;1986,00;1
2021;8;AAL;SBGR;KMIA;9999;J;NA;837,00;1
2021;8;AAL;SBGR;KMIA;9999;J;NA;1002,00;1
2021;8;AAL;SBGR;KMIA;9999;J;NA;1087,00;2
2021;8;AAL;SBGR;KMIA;9999;J;NA;1358,00;2
2021;8;AAL;SBGR;KMIA;9999;J;NA;1794,00;2
2021;8;AAL;SBGR;KMIA;9999;J;NA;1837,00;4
2021;8;AAL;SBGR;KMIA;9999;Y;NA;240,00;3
2021;8;AAL;SBGR;KMIA;9999;Y;NA;262,00;3
