ANO;MES;EMPRESA;ORIGEM;DESTINO;RETORNO;CLASSE IDA;CLASSE VOLTA;TARIFA;ASSENTOS
2021;4;AAL;SBEG;KMIA;SBEG;Y;Y;330,00;3
2021;4;AAL;SBEG;KMIA;SBEG;Y;Y;360,00;2
2021;4;AAL;SBEG;KMIA;SBEG;Y;Y;370,00;2
2021;4;AAL;SBEG;KMIA;SBEG;Y;Y;500,00;3
2021;4;AAL;SBEG;KMIA;SBEG;Y;Y;560,00;3
2021;4;AAL;SBGL;KJFK;SBGL;Y;Y;312,00;4
2021;4;AAL;SBGL;KMIA;9999;J;NA;1202,00;3
2021;4;AAL;SBGL;KMIA;SBGL;J;J;586,00;2
2021;4;AAL;SBGL;KMIA;SBGL;J;J;799,20;2
2021;4;AAL;SBGL;KMIA;SBGL;J;J;804,00;4
2021;4;AAL;SBGL;KMIA;SBGL;J;J;954,00;2
2021;4;AAL;SBGL;KMIA;SBGL;J;J;1794,00;3
2021;4;AAL;SBGL;KMIA;SBGL;J;J;1804,00;7
2021;4;AAL;SBGL;KMIA;SBGL;J;J;1954,00;2
2021;4;AAL;SBGL;KMIA;SBGL;Y;Y;220,00;2
2021;4;AAL;SBGL;KMIA;SBGL;Y;Y;282,00;8
2021;4;AAL;SBGL;KMIA;SBGL;Y;Y;290,00;2
2021;4;AAL;SBGL;KMIA;SBGL;Y;Y;308,00;3
2021;4;AAL;SBGL;KMIA;SBGL;Y;Y;322,00;1
2021;4;AAL;SBGL;KMIA;SBGL;Y;Y;324,00;8
2021;4;AAL;SBGL;KMIA;SBGL;Y;Y;422,23;1
2021;4;AAL;SBGL;KMIA;SBGL;Y;Y;424,00;1
2021;4;AAL;SBGL;KMIA;SBGL;Y;Y;442,00;1
2021;4;AAL;SBGL;KMIA;SBGL;Y;Y;454,00;2
2021;4;AAL;SBGL;KMIA;SBGL;Y;Y;474,00;1
2021;4;AAL;SBGL;KMIA;SBGL;Y;Y;524,00;1
2021;4;AAL;SBGL;KMIA;SBGL;Y;Y;530,00;1
2021;4;AAL;SBGL;KMIA;SBGL;Y;Y;567,00;2
2021;4;AAL;SBGL;KMIA;SBGL;Y;Y;575,00;4
2021;4;AAL;SBGL;KMIA;SBGL;Y;Y;604,00;12
2021;4;AAL;SBGL;KMIA;SBGL;Y;Y;625,00;1
2021;4;AAL;SBGL;KMIA;SBGL;Y;Y;820,00;1
2021;4;AAL;SBGL;KMIA;SBGR;J;J;1602,00;2
2021;4;AAL;SBGR;KDFW;9999;J;NA;1300,00;1
2021;4;AAL;SBGR;KDFW;SBGR;J;J;2266,00;3
2021;4;AAL;SBGR;KDFW;SBGR;J;J;2276,00;2
2021;4;AAL;SBGR;KDFW;SBGR;J;J;2500,00;1
2021;4;AAL;SBGR;KDFW;SBGR;J;J;2600,00;4
2021;4;AAL;SBGR;KDFW;SBGR;Y;Y;726,00;1
2021;4;AAL;SBGR;KDFW;SBGR;Y;Y;736,00;1
2021;4;AAL;SBGR;KDFW;SBGR;Y;Y;856,00;1
2021;4;AAL;SBGR;KDFW;SBGR;Y;Y;866,00;2
2021;4;AAL;SBGR;KDFW;SBGR;Y;Y;995,00;1
2021;4;AAL;SBGR;KJFK;9999;J;NA;1204,00;1
2021;4;AAL;SBGR;KJFK;9999;Y;NA;310,00;2
2021;4;AAL;SBGR;KJFK;9999;Y;NA;360,00;1
2021;4;AAL;SBGR;KJFK;SBGR;F;F;4330,00;6
2021;4;AAL;SBGR;KJFK;SBGR;J;F;3405,00;1
2021;4;AAL;SBGR;KJFK;SBGR;J;J;790,00;2
2021;4;AAL;SBGR;KJFK;SBGR;J;J;855,00;2
2021;4;AAL;SBGR;KJFK;SBGR;J;J;870,00;2
2021;4;AAL;SBGR;KJFK;SBGR;J;J;950,00;1
2021;4;AAL;SBGR;KJFK;SBGR;J;J;956,00;4
2021;4;AAL;SBGR;KJFK;SBGR;J;J;1187,00;1
2021;4;AAL;SBGR;KJFK;SBGR;J;J;1200,00;4
2021;4;AAL;SBGR;KJFK;SBGR;J;J;1448,00;2
2021;4;AAL;SBGR;KJFK;SBGR;J;J;1517,00;1
2021;4;AAL;SBGR;KJFK;SBGR;J;J;1598,00;5
2021;4;AAL;SBGR;KJFK;SBGR;J;J;1888,00;3
2021;4;AAL;SBGR;KJFK;SBGR;J;J;1896,00;3
2021;4;AAL;SBGR;KJFK;SBGR;J;J;1918,00;4
2021;4;AAL;SBGR;KJFK;SBGR;J;J;1958,00;2
2021;4;AAL;SBGR;KJFK;SBGR;J;J;1976,00;1
2021;4;AAL;SBGR;KJFK;SBGR;J;J;1991,00;2
2021;4;AAL;SBGR;KJFK;SBGR;J;J;1998,00;11
2021;4;AAL;SBGR;KJFK;SBGR;J;Y;1790,00;1
2021;4;AAL;SBGR;KJFK;SBGR;Y;Y;300,00;1
2021;4;AAL;SBGR;KJFK;SBGR;Y;Y;387,00;2
2021;4;AAL;SBGR;KJFK;SBGR;Y;Y;390,00;6
2021;4;AAL;SBGR;KJFK;SBGR;Y;Y;410,00;2
2021;4;AAL;SBGR;KJFK;SBGR;Y;Y;420,00;8
2021;4;AAL;SBGR;KJFK;SBGR;Y;Y;440,00;6
2021;4;AAL;SBGR;KJFK;SBGR;Y;Y;500,00;1
2021;4;AAL;SBGR;KJFK;SBGR;Y;Y;505,00;1
2021;4;AAL;SBGR;KJFK;SBGR;Y;Y;520,00;9
2021;4;AAL;SBGR;KJFK;SBGR;Y;Y;530,00;1
2021;4;AAL;SBGR;KJFK;SBGR;Y;Y;545,00;2
2021;4;AAL;SBGR;KJFK;SBGR;Y;Y;560,00;1
2021;4;AAL;SBGR;KJFK;SBGR;Y;Y;563,00;1
2021;4;AAL;SBGR;KJFK;SBGR;Y;Y;570,00;3
2021;4;AAL;SBGR;KJFK;SBGR;Y;Y;585,00;1
2021;4;AAL;SBGR;KJFK;SBGR;Y;Y;600,00;1
2021;4;AAL;SBGR;KJFK;SBGR;Y;Y;610,00;2
2021;4;AAL;SBGR;KJFK;SBGR;Y;Y;620,00;2
2021;4;AAL;SBGR;KJFK;SBGR;Y;Y;640,00;4
2021;4;AAL;SBGR;KJFK;SBGR;Y;Y;695,00;1
2021;4;AAL;SBGR;KJFK;SBGR;Y;Y;696,00;2
2021;4;AAL;SBGR;KJFK;SBGR;Y;Y;696,90;1
2021;4;AAL;SBGR;KJFK;SBGR;Y;Y;754,00;1
2021;4;AAL;SBGR;KJFK;SBGR;Y;Y;1075,00;1
2021;4;AAL;SBGR;KMIA;9999;J;NA;1348,00;5
2021;4;AAL;SBGR;KMIA;9999;Y;NA;320,00;1
2021;4;AAL;SBGR;KMIA;9999;Y;NA;552,00;2
2021;4;AAL;SBGR;KMIA;SBGR;F;F;3848,00;2
2021;4;AAL;SBGR;KMIA;SBGR;F;F;4222,00;1
2021;4;AAL;SBGR;KMIA;SBGR;F;F;4335,00;3
2021;4;AAL;SBGR;KMIA;SBGR;J;F;2396,00;1
2021;4;AAL;SBGR;KMIA;SBGR;J;J;1038,00;1
2021;4;AAL;SBGR;KMIA;SBGR;J;J;1100,00;2
2021;4;AAL;SBGR;KMIA;SBGR;J;J;1174,00;1
2021;4;AAL;SBGR;KMIA;SBGR;J;J;1185,00;1
2021;4;AAL;SBGR;KMIA;SBGR;J;J;1245,00;1
2021;4;AAL;SBGR;KMIA;SBGR;J;J;1350,00;2
2021;4;AAL;SBGR;KMIA;SBGR;J;J;1360,00;2
2021;4;AAL;SBGR;KMIA;SBGR;J;J;1400,00;72
2021;4;AAL;SBGR;KMIA;SBGR;J;J;1500,00;4
2021;4;AAL;SBGR;KMIA;SBGR;J;J;1580,00;5
2021;4;AAL;SBGR;KMIA;SBGR;J;J;1606,00;1
2021;4;AAL;SBGR;KMIA;SBGR;J;J;1682,00;3
2021;4;AAL;SBGR;KMIA;SBGR;J;J;1782,00;5
2021;4;AAL;SBGR;KMIA;SBGR;J;J;1920,00;2
2021;4;AAL;SBGR;KMIA;SBGR;J;J;1970,00;1
2021;4;AAL;SBGR;KMIA;SBGR;J;J;1994,00;8
2021;4;AAL;SBGR;KMIA;SBGR;J;J;2116,00;2
2021;4;AAL;SBGR;KMIA;SBGR;J;J;2164,00;2
2021;4;AAL;SBGR;KMIA;SBGR;J;J;2256,00;2
2021;4;AAL;SBGR;KMIA;SBGR;J;J;2273,00;4
2021;4;AAL;SBGR;KMIA;SBGR;J;J;2278,00;2
2021;4;AAL;SBGR;KMIA;SBGR;J;J;2520,00;2
2021;4;AAL;SBGR;KMIA;SBGR;J;J;2954,00;2
2021;4;AAL;SBGR;KMIA;SBGR;Y;Y;186,00;1
2021;4;AAL;SBGR;KMIA;SBGR;Y;Y;280,00;3
2021;4;AAL;SBGR;KMIA;SBGR;Y;Y;339,00;1
2021;4;AAL;SBGR;KMIA;SBGR;Y;Y;347,00;4
2021;4;AAL;SBGR;KMIA;SBGR;Y;Y;358,00;8
2021;4;AAL;SBGR;KMIA;SBGR;Y;Y;360,00;8
