ANO;MES;EMPRESA;ORIGEM;DESTINO;RETORNO;CLASSE IDA;CLASSE VOLTA;TARIFA;ASSENTOS
2021;1;AAL;SBEG;KMIA;9999;Y;NA;485,00;2
2021;1;AAL;SBEG;KMIA;SBEG;Y;Y;230,00;13
2021;1;AAL;SBEG;KMIA;SBEG;Y;Y;300,00;5
2021;1;AAL;SBEG;KMIA;SBEG;Y;Y;312,00;2
2021;1;AAL;SBEG;KMIA;SBEG;Y;Y;345,00;2
2021;1;AAL;SBEG;KMIA;SBEG;Y;Y;350,00;2
2021;1;AAL;SBEG;KMIA;SBEG;Y;Y;382,00;1
2021;1;AAL;SBEG;KMIA;SBEG;Y;Y;422,00;1
2021;1;AAL;SBEG;KMIA;SBEG;Y;Y;425,00;1
2021;1;AAL;SBEG;KMIA;SBEG;Y;Y;448,00;5
2021;1;AAL;SBEG;KMIA;SBEG;Y;Y;532,00;1
2021;1;AAL;SBEG;KMIA;SBEG;Y;Y;560,00;6
2021;1;AAL;SBEG;KMIA;SBEG;Y;Y;595,00;2
2021;1;AAL;SBEG;KMIA;SBEG;Y;Y;600,00;3
2021;1;AAL;SBEG;KMIA;SBEG;Y;Y;610,00;2
2021;1;AAL;SBEG;KMIA;SBEG;Y;Y;650,00;1
2021;1;AAL;SBEG;KMIA;SBEG;Y;Y;660,00;1
2021;1;AAL;SBEG;KMIA;SBEG;Y;Y;729,00;2
2021;1;AAL;SBGL;KMIA;9999;J;NA;684,00;2
2021;1;AAL;SBGL;KMIA;9999;J;NA;1714,00;2
2021;1;AAL;SBGL;KMIA;9999;J;NA;2314,00;1
2021;1;AAL;SBGL;KMIA;9999;Y;NA;509,00;12
2021;1;AAL;SBGL;KMIA;9999;Y;NA;809,00;4
2021;1;AAL;SBGL;KMIA;SBGL;J;J;630,00;4
2021;1;AAL;SBGL;KMIA;SBGL;J;J;716,00;3
2021;1;AAL;SBGL;KMIA;SBGL;J;J;801,00;1
2021;1;AAL;SBGL;KMIA;SBGL;J;J;880,00;3
2021;1;AAL;SBGL;KMIA;SBGL;J;J;926,00;1
2021;1;AAL;SBGL;KMIA;SBGL;J;J;937,00;2
2021;1;AAL;SBGL;KMIA;SBGL;J;J;950,00;1
2021;1;AAL;SBGL;KMIA;SBGL;J;J;955,00;2
2021;1;AAL;SBGL;KMIA;SBGL;J;J;1090,00;1
2021;1;AAL;SBGL;KMIA;SBGL;J;J;1100,00;31
2021;1;AAL;SBGL;KMIA;SBGL;J;J;1105,00;1
2021;1;AAL;SBGL;KMIA;SBGL;J;J;1256,00;1
2021;1;AAL;SBGL;KMIA;SBGL;J;J;1318,00;1
2021;1;AAL;SBGL;KMIA;SBGL;J;J;1450,00;2
2021;1;AAL;SBGL;KMIA;SBGL;J;J;1510,00;3
2021;1;AAL;SBGL;KMIA;SBGL;J;J;1920,00;5
2021;1;AAL;SBGL;KMIA;SBGL;J;J;1930,00;2
2021;1;AAL;SBGL;KMIA;SBGL;J;J;1940,00;3
2021;1;AAL;SBGL;KMIA;SBGL;J;J;2569,00;4
2021;1;AAL;SBGL;KMIA;SBGL;J;J;3090,00;1
2021;1;AAL;SBGL;KMIA;SBGL;J;J;3370,00;1
2021;1;AAL;SBGL;KMIA;SBGL;J;Y;705,00;2
2021;1;AAL;SBGL;KMIA;SBGL;Y;J;762,00;1
2021;1;AAL;SBGL;KMIA;SBGL;Y;J;815,00;1
2021;1;AAL;SBGL;KMIA;SBGL;Y;Y;282,00;18
2021;1;AAL;SBGL;KMIA;SBGL;Y;Y;302,00;2
2021;1;AAL;SBGL;KMIA;SBGL;Y;Y;320,00;1
2021;1;AAL;SBGL;KMIA;SBGL;Y;Y;352,00;1
2021;1;AAL;SBGL;KMIA;SBGL;Y;Y;356,00;1
2021;1;AAL;SBGL;KMIA;SBGL;Y;Y;372,00;2
2021;1;AAL;SBGL;KMIA;SBGL;Y;Y;424,00;16
2021;1;AAL;SBGL;KMIA;SBGL;Y;Y;477,00;3
2021;1;AAL;SBGL;KMIA;SBGL;Y;Y;520,00;4
2021;1;AAL;SBGL;KMIA;SBGL;Y;Y;530,00;21
2021;1;AAL;SBGL;KMIA;SBGL;Y;Y;543,00;2
2021;1;AAL;SBGL;KMIA;SBGL;Y;Y;646,00;4
2021;1;AAL;SBGL;KMIA;SBGL;Y;Y;740,00;2
2021;1;AAL;SBGL;KMIA;SBGL;Y;Y;754,00;2
2021;1;AAL;SBGL;KMIA;SBGL;Y;Y;1170,00;1
2021;1;AAL;SBGR;KDFW;9999;Y;NA;1245,00;1
2021;1;AAL;SBGR;KDFW;SBGR;J;J;2773,00;1
2021;1;AAL;SBGR;KDFW;SBGR;Y;Y;581,00;1
2021;1;AAL;SBGR;KDFW;SBGR;Y;Y;598,00;2
2021;1;AAL;SBGR;KDFW;SBGR;Y;Y;674,00;2
2021;1;AAL;SBGR;KDFW;SBGR;Y;Y;766,00;1
2021;1;AAL;SBGR;KDFW;SBGR;Y;Y;863,00;1
2021;1;AAL;SBGR;KDFW;SBGR;Y;Y;1251,00;1
2021;1;AAL;SBGR;KJFK;9999;J;NA;445,00;2
2021;1;AAL;SBGR;KJFK;9999;J;NA;475,00;1
2021;1;AAL;SBGR;KJFK;SBGR;F;F;3990,00;4
2021;1;AAL;SBGR;KJFK;SBGR;J;J;930,00;1
2021;1;AAL;SBGR;KJFK;SBGR;J;J;1200,00;6
2021;1;AAL;SBGR;KJFK;SBGR;J;J;1430,00;1
2021;1;AAL;SBGR;KJFK;SBGR;J;J;1788,00;9
2021;1;AAL;SBGR;KJFK;SBGR;J;J;1850,00;3
2021;1;AAL;SBGR;KJFK;SBGR;J;J;1948,00;7
2021;1;AAL;SBGR;KJFK;SBGR;J;J;2359,00;1
2021;1;AAL;SBGR;KJFK;SBGR;J;J;3875,00;2
2021;1;AAL;SBGR;KJFK;SBGR;Y;J;805,00;2
2021;1;AAL;SBGR;KJFK;SBGR;Y;J;835,00;3
2021;1;AAL;SBGR;KJFK;SBGR;Y;J;1005,00;2
2021;1;AAL;SBGR;KJFK;SBGR;Y;J;1169,00;2
2021;1;AAL;SBGR;KJFK;SBGR;Y;Y;390,00;16
2021;1;AAL;SBGR;KJFK;SBGR;Y;Y;410,00;6
