ANO;MES;EMPRESA;ORIGEM;DESTINO;RETORNO;CLASSE IDA;CLASSE VOLTA;TARIFA;ASSENTOS
2021;5;AAL;SBEG;KMIA;SBEG;Y;Y;350,00;2
2021;5;AAL;SBEG;KMIA;SBEG;Y;Y;360,00;3
2021;5;AAL;SBEG;KMIA;SBEG;Y;Y;550,00;1
2021;5;AAL;SBGL;KJFK;SBGL;J;J;674,00;2
2021;5;AAL;SBGL;KJFK;SBGL;J;J;1300,00;2
2021;5;AAL;SBGL;KJFK;SBGL;J;J;1640,00;2
2021;5;AAL;SBGL;KJFK;SBGL;Y;Y;362,00;2
2021;5;AAL;SBGL;KJFK;SBGL;Y;Y;442,00;4
2021;5;AAL;SBGL;KJFK;SBGL;Y;Y;492,00;2
2021;5;AAL;SBGL;KJFK;SBGL;Y;Y;960,00;2
2021;5;AAL;SBGL;KJFK;SBGL;Y;Y;1000,00;1
2021;5;AAL;SBGL;KJFK;SBGL;Y;Y;1097,00;8
2021;5;AAL;SBGL;KMIA;9999;Y;NA;527,00;1
2021;5;AAL;SBGL;KMIA;SBGL;J;J;528,00;2
2021;5;AAL;SBGL;KMIA;SBGL;J;J;586,00;3
2021;5;AAL;SBGL;KMIA;SBGL;J;J;804,00;2
2021;5;AAL;SBGL;KMIA;SBGL;J;J;854,00;1
2021;5;AAL;SBGL;KMIA;SBGL;J;J;954,00;5
2021;5;AAL;SBGL;KMIA;SBGL;J;J;1004,00;2
2021;5;AAL;SBGL;KMIA;SBGL;J;J;1037,00;2
2021;5;AAL;SBGL;KMIA;SBGL;J;J;1424,00;1
2021;5;AAL;SBGL;KMIA;SBGL;J;J;1804,00;11
2021;5;AAL;SBGL;KMIA;SBGL;J;J;1864,00;1
2021;5;AAL;SBGL;KMIA;SBGL;J;J;1954,00;2
2021;5;AAL;SBGL;KMIA;SBGL;J;J;2050,00;1
2021;5;AAL;SBGL;KMIA;SBGL;J;J;2158,00;2
2021;5;AAL;SBGL;KMIA;SBGL;J;J;2408,00;2
2021;5;AAL;SBGL;KMIA;SBGL;J;J;2455,00;4
2021;5;AAL;SBGL;KMIA;SBGL;J;J;2562,00;3
2021;5;AAL;SBGL;KMIA;SBGL;J;J;3068,00;1
2021;5;AAL;SBGL;KMIA;SBGL;J;J;3391,00;2
2021;5;AAL;SBGL;KMIA;SBGL;J;J;4055,00;2
2021;5;AAL;SBGL;KMIA;SBGL;Y;J;679,00;1
2021;5;AAL;SBGL;KMIA;SBGL;Y;J;722,00;2
2021;5;AAL;SBGL;KMIA;SBGL;Y;Y;220,00;2
2021;5;AAL;SBGL;KMIA;SBGL;Y;Y;324,00;5
2021;5;AAL;SBGL;KMIA;SBGL;Y;Y;355,00;1
2021;5;AAL;SBGL;KMIA;SBGL;Y;Y;374,00;3
2021;5;AAL;SBGL;KMIA;SBGL;Y;Y;454,00;7
2021;5;AAL;SBGL;KMIA;SBGL;Y;Y;474,00;2
2021;5;AAL;SBGL;KMIA;SBGL;Y;Y;500,00;2
2021;5;AAL;SBGL;KMIA;SBGL;Y;Y;504,00;8
2021;5;AAL;SBGL;KMIA;SBGL;Y;Y;529,00;1
2021;5;AAL;SBGL;KMIA;SBGL;Y;Y;574,00;1
2021;5;AAL;SBGL;KMIA;SBGL;Y;Y;604,00;4
2021;5;AAL;SBGL;KMIA;SBGL;Y;Y;1016,00;4
2021;5;AAL;SBGL;KMIA;SBGR;Y;Y;697,00;1
2021;5;AAL;SBGR;KDFW;9999;Y;NA;710,00;1
2021;5;AAL;SBGR;KDFW;SBGR;J;J;2266,00;2
2021;5;AAL;SBGR;KDFW;SBGR;J;J;3048,00;1
2021;5;AAL;SBGR;KDFW;SBGR;Y;Y;686,00;4
2021;5;AAL;SBGR;KDFW;SBGR;Y;Y;866,00;1
2021;5;AAL;SBGR;KDFW;SBGR;Y;Y;916,00;1
2021;5;AAL;SBGR;KDFW;SBGR;Y;Y;1048,00;5
2021;5;AAL;SBGR;KDFW;SBGR;Y;Y;1074,00;1
2021;5;AAL;SBGR;KDFW;SBGR;Y;Y;1090,00;1
2021;5;AAL;SBGR;KDFW;SBGR;Y;Y;1390,00;2
2021;5;AAL;SBGR;KJFK;9999;J;NA;488,00;4
2021;5;AAL;SBGR;KJFK;9999;J;NA;959,00;1
2021;5;AAL;SBGR;KJFK;9999;Y;NA;260,00;1
2021;5;AAL;SBGR;KJFK;9999;Y;NA;300,00;2
2021;5;AAL;SBGR;KJFK;9999;Y;NA;310,00;1
2021;5;AAL;SBGR;KJFK;9999;Y;NA;353,00;1
2021;5;AAL;SBGR;KJFK;9999;Y;NA;375,00;1
2021;5;AAL;SBGR;KJFK;9999;Y;NA;385,00;1
2021;5;AAL;SBGR;KJFK;9999;Y;NA;400,00;2
2021;5;AAL;SBGR;KJFK;9999;Y;NA;420,00;1
2021;5;AAL;SBGR;KJFK;9999;Y;NA;435,00;1
2021;5;AAL;SBGR;KJFK;SBGR;F;F;2660,00;2
2021;5;AAL;SBGR;KJFK;SBGR;F;F;3065,00;3
2021;5;AAL;SBGR;KJFK;SBGR;J;J;390,00;1
2021;5;AAL;SBGR;KJFK;SBGR;J;J;870,00;3
2021;5;AAL;SBGR;KJFK;SBGR;J;J;883,00;1
2021;5;AAL;SBGR;KJFK;SBGR;J;J;1200,00;5
2021;5;AAL;SBGR;KJFK;SBGR;J;J;1400,00;3
2021;5;AAL;SBGR;KJFK;SBGR;J;J;1490,00;9
2021;5;AAL;SBGR;KJFK;SBGR;J;J;1700,00;2
2021;5;AAL;SBGR;KJFK;SBGR;J;J;1788,00;2
2021;5;AAL;SBGR;KJFK;SBGR;J;J;1789,00;4
2021;5;AAL;SBGR;KJFK;SBGR;J;J;1876,00;4
2021;5;AAL;SBGR;KJFK;SBGR;J;J;1896,00;5
2021;5;AAL;SBGR;KJFK;SBGR;J;J;1958,00;8
2021;5;AAL;SBGR;KJFK;SBGR;J;J;1976,00;2
2021;5;AAL;SBGR;KJFK;SBGR;J;J;1998,00;3
2021;5;AAL;SBGR;KJFK;SBGR;J;J;2039,00;1
2021;5;AAL;SBGR;KJFK;SBGR;J;J;2094,00;1
2021;5;AAL;SBGR;KJFK;SBGR;J;J;3000,00;2
2021;5;AAL;SBGR;KJFK;SBGR;J;J;3038,00;1
2021;5;AAL;SBGR;KJFK;SBGR;Y;Y;200,00;3
2021;5;AAL;SBGR;KJFK;SBGR;Y;Y;330,00;4
2021;5;AAL;SBGR;KJFK;SBGR;Y;Y;368,00;1
2021;5;AAL;SBGR;KJFK;SBGR;Y;Y;390,00;5
2021;5;AAL;SBGR;KJFK;SBGR;Y;Y;456,00;2
2021;5;AAL;SBGR;KJFK;SBGR;Y;Y;463,00;1
2021;5;AAL;SBGR;KJFK;SBGR;Y;Y;485,00;3
2021;5;AAL;SBGR;KJFK;SBGR;Y;Y;492,00;1
2021;5;AAL;SBGR;KJFK;SBGR;Y;Y;495,00;2
2021;5;AAL;SBGR;KJFK;SBGR;Y;Y;500,00;2
2021;5;AAL;SBGR;KJFK;SBGR;Y;Y;505,00;1
2021;5;AAL;SBGR;KJFK;SBGR;Y;Y;520,00;2
2021;5;AAL;SBGR;KJFK;SBGR;Y;Y;537,00;1
2021;5;AAL;SBGR;KJFK;SBGR;Y;Y;560,00;4
2021;5;AAL;SBGR;KJFK;SBGR;Y;Y;563,00;1
2021;5;AAL;SBGR;KJFK;SBGR;Y;Y;570,00;3
2021;5;AAL;SBGR;KJFK;SBGR;Y;Y;576,00;1
2021;5;AAL;SBGR;KJFK;SBGR;Y;Y;590,00;2
2021;5;AAL;SBGR;KJFK;SBGR;Y;Y;620,00;2
2021;5;AAL;SBGR;KJFK;SBGR;Y;Y;626,00;1
2021;5;AAL;SBGR;KJFK;SBGR;Y;Y;670,00;2
2021;5;AAL;SBGR;KJFK;SBGR;Y;Y;677,00;2
2021;5;AAL;SBGR;KJFK;SBGR;Y;Y;700,00;2
2021;5;AAL;SBGR;KJFK;SBGR;Y;Y;750,00;2
