ANO;MES;EMPRESA;ORIGEM;DESTINO;RETORNO;CLASSE IDA;CLASSE VOLTA;TARIFA;ASSENTOS
2021;2;AAL;SBEG;KMIA;9999;J;NA;373,00;1
2021;2;AAL;SBEG;KMIA;9999;Y;NA;198,00;2
2021;2;AAL;SBEG;KMIA;9999;Y;NA;527,00;2
2021;2;AAL;SBEG;KMIA;SBEG;J;J;1000,00;2
2021;2;AAL;SBEG;KMIA;SBEG;Y;Y;280,00;2
2021;2;AAL;SBEG;KMIA;SBEG;Y;Y;305,00;2
2021;2;AAL;SBEG;KMIA;SBEG;Y;Y;312,00;3
2021;2;AAL;SBEG;KMIA;SBEG;Y;Y;347,00;3
2021;2;AAL;SBEG;KMIA;SBEG;Y;Y;350,00;3
2021;2;AAL;SBEG;KMIA;SBEG;Y;Y;368,00;4
2021;2;AAL;SBEG;KMIA;SBEG;Y;Y;390,00;2
2021;2;AAL;SBEG;KMIA;SBEG;Y;Y;396,00;16
2021;2;AAL;SBEG;KMIA;SBEG;Y;Y;440,00;1
2021;2;AAL;SBEG;KMIA;SBEG;Y;Y;495,00;4
2021;2;AAL;SBEG;KMIA;SBEG;Y;Y;560,00;1
2021;2;AAL;SBEG;KMIA;SBEG;Y;Y;650,00;3
2021;2;AAL;SBEG;KMIA;SBEG;Y;Y;665,00;2
2021;2;AAL;SBEG;KMIA;SBGR;J;J;1431,00;2
2021;2;AAL;SBGL;KJFK;SBGL;J;J;1524,00;4
2021;2;AAL;SBGL;KJFK;SBGL;Y;Y;407,00;2
2021;2;AAL;SBGL;KJFK;SBGL;Y;Y;524,00;5
2021;2;AAL;SBGL;KMIA;9999;J;NA;672,00;1
2021;2;AAL;SBGL;KMIA;9999;Y;NA;452,00;2
2021;2;AAL;SBGL;KMIA;9999;Y;NA;497,00;3
2021;2;AAL;SBGL;KMIA;SBGL;J;J;586,00;2
2021;2;AAL;SBGL;KMIA;SBGL;J;J;666,00;2
2021;2;AAL;SBGL;KMIA;SBGL;J;J;716,00;2
2021;2;AAL;SBGL;KMIA;SBGL;J;J;726,00;1
2021;2;AAL;SBGL;KMIA;SBGL;J;J;744,00;1
2021;2;AAL;SBGL;KMIA;SBGL;J;J;880,00;1
2021;2;AAL;SBGL;KMIA;SBGL;J;J;894,00;2
2021;2;AAL;SBGL;KMIA;SBGL;J;J;1158,00;1
2021;2;AAL;SBGL;KMIA;SBGL;J;J;1244,00;1
2021;2;AAL;SBGL;KMIA;SBGL;J;J;1744,00;5
2021;2;AAL;SBGL;KMIA;SBGL;J;J;1894,00;1
2021;2;AAL;SBGL;KMIA;SBGL;J;J;1940,00;4
