ANO;MES;EMPRESA;ORIGEM;DESTINO;RETORNO;CLASSE IDA;CLASSE VOLTA;TARIFA;ASSENTOS
2021;6;AAL;SBEG;KMIA;SBEG;J;J;1336,00;2
2021;6;AAL;SBEG;KMIA;SBEG;Y;Y;300,00;3
2021;6;AAL;SBEG;KMIA;SBEG;Y;Y;480,00;3
2021;6;AAL;SBEG;KMIA;SBEG;Y;Y;550,00;3
2021;6;AAL;SBEG;KMIA;SBEG;Y;Y;610,00;2
2021;6;AAL;SBEG;KMIA;SBEG;Y;Y;649,00;1
2021;6;AAL;SBGL;KJFK;SBGL;J;J;1640,00;2
2021;6;AAL;SBGL;KJFK;SBGL;Y;Y;362,00;2
2021;6;AAL;SBGL;KJFK;SBGL;Y;Y;387,00;1
2021;6;AAL;SBGL;KJFK;SBGL;Y;Y;517,00;2
2021;6;AAL;SBGL;KMIA;9999;J;NA;485,00;3
2021;6;AAL;SBGL;KMIA;9999;J;NA;510,00;1
2021;6;AAL;SBGL;KMIA;9999;J;NA;602,00;1
2021;6;AAL;SBGL;KMIA;9999;Y;NA;162,00;3
2021;6;AAL;SBGL;KMIA;9999;Y;NA;222,00;1
2021;6;AAL;SBGL;KMIA;9999;Y;NA;227,00;5
2021;6;AAL;SBGL;KMIA;9999;Y;NA;245,00;1
2021;6;AAL;SBGL;KMIA;9999;Y;NA;287,00;2
2021;6;AAL;SBGL;KMIA;9999;Y;NA;310,00;1
2021;6;AAL;SBGL;KMIA;9999;Y;NA;352,00;1
2021;6;AAL;SBGL;KMIA;SBGL;J;J;586,00;2
2021;6;AAL;SBGL;KMIA;SBGL;J;J;666,00;2
2021;6;AAL;SBGL;KMIA;SBGL;J;J;738,00;1
2021;6;AAL;SBGL;KMIA;SBGL;J;J;804,00;1
2021;6;AAL;SBGL;KMIA;SBGL;J;J;870,00;1
2021;6;AAL;SBGL;KMIA;SBGL;J;J;937,00;3
2021;6;AAL;SBGL;KMIA;SBGL;J;J;1050,00;2
2021;6;AAL;SBGL;KMIA;SBGL;J;J;1102,00;1
2021;6;AAL;SBGL;KMIA;SBGL;J;J;1310,00;4
2021;6;AAL;SBGL;KMIA;SBGL;J;J;1490,00;3
2021;6;AAL;SBGL;KMIA;SBGL;J;J;1568,00;1
2021;6;AAL;SBGL;KMIA;SBGL;J;J;2158,00;2
2021;6;AAL;SBGL;KMIA;SBGL;J;J;2551,00;2
2021;6;AAL;SBGL;KMIA;SBGL;J;J;2606,00;2
2021;6;AAL;SBGL;KMIA;SBGL;J;J;3339,00;1
2021;6;AAL;SBGL;KMIA;SBGL;J;J;3633,00;2
2021;6;AAL;SBGL;KMIA;SBGL;J;J;4141,00;1
2021;6;AAL;SBGL;KMIA;SBGL;J;Y;948,00;2
2021;6;AAL;SBGL;KMIA;SBGL;Y;J;765,00;1
2021;6;AAL;SBGL;KMIA;SBGL;Y;Y;280,00;3
2021;6;AAL;SBGL;KMIA;SBGL;Y;Y;282,00;10
2021;6;AAL;SBGL;KMIA;SBGL;Y;Y;302,00;3
2021;6;AAL;SBGL;KMIA;SBGL;Y;Y;324,00;1
2021;6;AAL;SBGL;KMIA;SBGL;Y;Y;332,00;5
2021;6;AAL;SBGL;KMIA;SBGL;Y;Y;350,00;2
2021;6;AAL;SBGL;KMIA;SBGL;Y;Y;382,00;1
2021;6;AAL;SBGL;KMIA;SBGL;Y;Y;399,00;1
2021;6;AAL;SBGL;KMIA;SBGL;Y;Y;442,00;1
2021;6;AAL;SBGL;KMIA;SBGL;Y;Y;445,00;2
2021;6;AAL;SBGL;KMIA;SBGL;Y;Y;454,00;4
2021;6;AAL;SBGL;KMIA;SBGL;Y;Y;514,00;2
2021;6;AAL;SBGL;KMIA;SBGL;Y;Y;549,00;1
2021;6;AAL;SBGL;KMIA;SBGL;Y;Y;562,00;1
2021;6;AAL;SBGL;KMIA;SBGL;Y;Y;574,00;2
2021;6;AAL;SBGL;KMIA;SBGL;Y;Y;647,00;1
2021;6;AAL;SBGL;KMIA;SBGL;Y;Y;734,00;1
2021;6;AAL;SBGL;KMIA;SBGL;Y;Y;754,00;2
2021;6;AAL;SBGL;KMIA;SBGL;Y;Y;836,00;1
2021;6;AAL;SBGL;KMIA;SBGL;Y;Y;1150,00;1
2021;6;AAL;SBGL;KMIA;SBGL;Y;Y;1282,00;4
2021;6;AAL;SBGR;KDFW;9999;Y;NA;620,00;1
2021;6;AAL;SBGR;KDFW;9999;Y;NA;685,00;2
2021;6;AAL;SBGR;KDFW;SBGR;J;J;1560,00;3
2021;6;AAL;SBGR;KDFW;SBGR;J;J;1790,00;1
2021;6;AAL;SBGR;KDFW;SBGR;J;J;2316,00;1
2021;6;AAL;SBGR;KDFW;SBGR;J;J;3150,00;1
2021;6;AAL;SBGR;KDFW;SBGR;J;Y;1409,00;1
2021;6;AAL;SBGR;KDFW;SBGR;Y;Y;916,00;5
2021;6;AAL;SBGR;KJFK;9999;J;NA;435,00;2
2021;6;AAL;SBGR;KJFK;9999;J;NA;959,00;2
2021;6;AAL;SBGR;KJFK;9999;J;NA;1009,00;1
