ANO;MES;EMPRESA;ORIGEM;DESTINO;RETORNO;CLASSE IDA;CLASSE VOLTA;TARIFA;ASSENTOS
2021;3;AAL;SBEG;KMIA;9999;Y;NA;185,00;1
2021;3;AAL;SBEG;KMIA;9999;Y;NA;230,00;2
2021;3;AAL;SBEG;KMIA;9999;Y;NA;245,00;7
2021;3;AAL;SBEG;KMIA;SBEG;J;J;746,00;2
2021;3;AAL;SBEG;KMIA;SBEG;J;J;850,00;2
2021;3;AAL;SBEG;KMIA;SBEG;Y;Y;350,00;4
2021;3;AAL;SBEG;KMIA;SBEG;Y;Y;370,00;13
2021;3;AAL;SBEG;KMIA;SBEG;Y;Y;390,00;3
2021;3;AAL;SBEG;KMIA;SBEG;Y;Y;425,00;5
2021;3;AAL;SBEG;KMIA;SBEG;Y;Y;430,00;1
2021;3;AAL;SBEG;KMIA;SBEG;Y;Y;460,00;3
2021;3;AAL;SBEG;KMIA;SBEG;Y;Y;490,00;10
2021;3;AAL;SBEG;KMIA;SBEG;Y;Y;521,00;1
2021;3;AAL;SBEG;KMIA;SBEG;Y;Y;525,00;3
2021;3;AAL;SBEG;KMIA;SBEG;Y;Y;660,00;3
2021;3;AAL;SBGL;KJFK;SBGL;J;J;1682,00;2
2021;3;AAL;SBGL;KJFK;SBGL;Y;Y;72,00;9
2021;3;AAL;SBGL;KJFK;SBGL;Y;Y;82,00;4
2021;3;AAL;SBGL;KJFK;SBGL;Y;Y;447,00;2
2021;3;AAL;SBGL;KMIA;9999;J;NA;1182,00;5
2021;3;AAL;SBGL;KMIA;9999;J;NA;1197,00;2
2021;3;AAL;SBGL;KMIA;9999;Y;NA;462,00;1
2021;3;AAL;SBGL;KMIA;9999;Y;NA;507,00;1
2021;3;AAL;SBGL;KMIA;9999;Y;NA;522,00;5
2021;3;AAL;SBGL;KMIA;SBGL;J;J;280,00;1
2021;3;AAL;SBGL;KMIA;SBGL;J;J;528,00;2
2021;3;AAL;SBGL;KMIA;SBGL;J;J;586,00;3
2021;3;AAL;SBGL;KMIA;SBGL;J;J;666,00;2
2021;3;AAL;SBGL;KMIA;SBGL;J;J;711,00;1
2021;3;AAL;SBGL;KMIA;SBGL;J;J;716,00;2
2021;3;AAL;SBGL;KMIA;SBGL;J;J;726,00;2
2021;3;AAL;SBGL;KMIA;SBGL;J;J;764,00;2
2021;3;AAL;SBGL;KMIA;SBGL;J;J;794,00;4
2021;3;AAL;SBGL;KMIA;SBGL;J;J;842,00;2
2021;3;AAL;SBGL;KMIA;SBGL;J;J;920,00;5
2021;3;AAL;SBGL;KMIA;SBGL;J;J;1352,00;1
2021;3;AAL;SBGL;KMIA;SBGL;J;J;1365,00;1
2021;3;AAL;SBGL;KMIA;SBGL;J;J;1744,00;4
2021;3;AAL;SBGL;KMIA;SBGL;J;J;1764,00;9
